MAKE,PRICE,YEAR,KILOMETER,FUEL TYPE,TRANSMISSION,COLOR,OWNER,SELLER TYPE,ENGINE,MAX POWER,MAX TORQUE,DRIVETRAIN,LENGTH,WIDTH,HEIGHT,SEATING CAPACITY,FUEL TANK CAPACITY
Honda,505000,2017,87150,Petrol,Manual,Grey,First,Corporate,1198.0,87.0,109.0,FWD,3990.0,1680.0,1505.0,5.0,35.0
Maruti Suzuki,450000,2014,75000,Diesel,Manual,White,Second,Individual,1248.0,74.0,190.0,FWD,3995.0,1695.0,1555.0,5.0,42.0
Hyundai,220000,2011,67000,Petrol,Manual,Maroon,First,Individual,1197.0,79.0,112.7619,FWD,3585.0,1595.0,1550.0,5.0,35.0
Toyota,799000,2019,37500,Petrol,Manual,Red,First,Individual,1197.0,82.0,113.0,FWD,3995.0,1745.0,1510.0,5.0,37.0
Toyota,1950000,2018,69000,Diesel,Manual,Grey,First,Individual,2393.0,148.0,343.0,RWD,4735.0,1830.0,1795.0,7.0,55.0
Maruti Suzuki,675000,2017,73315,Petrol,Manual,Grey,First,Individual,1373.0,91.0,130.0,FWD,4490.0,1730.0,1485.0,5.0,43.0
BMW,2650000,2017,75000,Diesel,Automatic,White,Second,Individual,1995.0,188.0,400.0,AWD,4439.0,1821.0,1612.0,5.0,51.0
Skoda,1390000,2017,56000,Petrol,Automatic,White,First,Individual,1798.0,177.0,250.0,FWD,4670.0,1814.0,1476.0,5.0,50.0
Nissan,575000,2015,85000,Diesel,Manual,White,First,Individual,1461.0,84.0,200.0,FWD,4331.0,1822.0,1671.0,5.0,50.0
Hyundai,591000,2017,20281,Petrol,Manual,Red,First,Individual,1197.0,82.0,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0
Renault,459999,2018,22541,Petrol,Manual,Grey,First,Individual,999.0,67.0,91.0,FWD,3679.0,1579.0,1478.0,5.0,28.0
Maruti Suzuki,1075000,2019,30672,Petrol,Automatic,Blue,First,Individual,1462.0,103.0,138.0,FWD,4490.0,1730.0,1485.0,5.0,43.0
Tata,1695000,2019,20856,Diesel,Manual,Orange,First,Individual,1956.0,138.0,350.0,FWD,4598.0,1894.0,1706.0,5.0,50.0
Volkswagen,944999,2017,41417,Petrol,Automatic,Grey,First,Individual,1197.0,103.0,175.0,FWD,3971.0,1682.0,1469.0,5.0,45.0
Maruti Suzuki,569000,2016,11471,Petrol,Automatic,Red,First,Individual,998.0,67.0,90.0,FWD,3695.0,1600.0,1560.0,5.0,35.0
Maruti Suzuki,449000,2019,3583,Petrol,Manual,Grey,First,Individual,796.0,47.0,69.0,FWD,3445.0,1515.0,1475.0,5.0,35.0
Maruti Suzuki,894999,2018,21365,Petrol,Automatic,Grey,First,Individual,1197.0,82.0,113.0,FWD,3995.0,1745.0,1510.0,5.0,37.0
Maruti Suzuki,699000,2020,30777,Petrol,Automatic,White,First,Individual,1197.0,82.0,113.0,FWD,3655.0,1620.0,1675.0,5.0,32.0
Hyundai,740000,2016,60125,Petrol,Manual,Silver,First,Individual,1591.0,122.0,154.0,FWD,4270.0,1780.0,1630.0,5.0,60.0
Maruti Suzuki,470000,2020,2169,Petrol,Automatic,Grey,First,Individual,998.0,67.0,90.0,FWD,3565.0,1520.0,1564.0,5.0,27.0
Volkswagen,765000,2015,60240,Petrol,Automatic,Brown,First,Individual,1197.0,103.0,153.0,FWD,4384.0,1699.0,1466.0,5.0,55.0
Hyundai,589000,2018,13772,Petrol,Automatic,White,First,Individual,1086.0,68.0,99.0,FWD,3610.0,1645.0,1560.0,5.0,35.0
Hyundai,999000,2019,27464,Petrol,Manual,Blue,First,Individual,998.0,118.0,172.0,FWD,3995.0,1770.0,1605.0,5.0,45.0
