STREET,LT_SHAPE,LND_CNTR,UTLS,LND_SLOPE,BLDG_TYPE,HOUSE_STYLE,OVER_QUAL,RF_STYLE,EXT_QUAL,FNDATN,HEATING,CNTRL_AIR,ELEC,GR_LIV_AREA,FL_BATH,HF_BATH,TTL_RMS_ABV_GRD,FIRE_PLCS,GAR_TYPE,GAR_CARS,PVD_DR,MO_SOLD,SALE_TYPE,SALE_COND,SALE_PRICE
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,6,Hip,TA,CBlock,GasA,Y,SBrkr,1656,1,0,7,2,Attchd,2.0,P,5,WD ,Normal,215000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,5,Gable,TA,CBlock,GasA,Y,SBrkr,896,1,0,5,0,Attchd,1.0,Y,6,WD ,Normal,105000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,6,Hip,TA,CBlock,GasA,Y,SBrkr,1329,1,1,6,0,Attchd,1.0,Y,6,WD ,Normal,172000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,7,Hip,Gd,CBlock,GasA,Y,SBrkr,2110,2,1,8,2,Attchd,2.0,Y,4,WD ,Normal,244000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,5,Gable,TA,PConc,GasA,Y,SBrkr,1629,2,1,6,1,Attchd,2.0,Y,3,WD ,Normal,189900
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,6,Gable,TA,PConc,GasA,Y,SBrkr,1604,2,1,7,1,Attchd,2.0,Y,6,WD ,Normal,195500
Pave,Reg,Lvl,AllPub,Gtl,TwnhsE,1Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1338,2,0,6,0,Attchd,2.0,Y,4,WD ,Normal,213500
Pave,IR1,HLS,AllPub,Gtl,TwnhsE,1Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1280,2,0,5,0,Attchd,2.0,Y,1,WD ,Normal,191500
Pave,IR1,Lvl,AllPub,Gtl,TwnhsE,1Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1616,2,0,5,1,Attchd,2.0,Y,3,WD ,Normal,236500
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,TA,PConc,GasA,Y,SBrkr,1804,2,1,7,1,Attchd,2.0,Y,6,WD ,Normal,189000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,6,Gable,TA,PConc,GasA,Y,SBrkr,1655,2,1,7,1,Attchd,2.0,Y,4,WD ,Normal,175900
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,6,Gable,TA,PConc,GasA,Y,SBrkr,1187,2,0,6,0,Attchd,2.0,Y,3,WD ,Normal,185000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,2Story,6,Gable,TA,PConc,GasA,Y,SBrkr,1465,2,1,7,1,Attchd,2.0,Y,5,WD ,Normal,180400
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,7,Gable,TA,PConc,GasA,Y,SBrkr,1341,1,1,5,1,Attchd,2.0,Y,2,WD ,Normal,171500
Pave,IR1,Lvl,AllPub,Gtl,TwnhsE,1Story,8,Gable,Gd,PConc,GasA,Y,SBrkr,1502,1,1,4,0,Attchd,2.0,Y,6,WD ,Normal,212000
Pave,IR2,HLS,AllPub,Mod,1Fam,2Story,8,Hip,Ex,PConc,GasA,Y,SBrkr,3279,3,1,12,1,BuiltIn,3.0,Y,6,WD ,Normal,538000
Pave,IR1,Bnk,AllPub,Mod,1Fam,1.5Fin,8,Gable,Gd,Wood,GasA,Y,SBrkr,1752,2,0,8,0,Basment,2.0,Y,6,WD ,Normal,164000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,9,Hip,Gd,PConc,GasA,Y,SBrkr,1856,1,1,8,1,Attchd,3.0,Y,6,New,Partial,394432
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,4,Gable,TA,CBlock,GasA,Y,SBrkr,864,1,0,4,0,Detchd,2.0,Y,6,WD ,Normal,141000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,1Story,6,Gable,TA,CBlock,GasA,Y,SBrkr,2073,2,0,7,2,Attchd,2.0,Y,2,WD ,Normal,210000
Pave,IR1,Lvl,AllPub,Gtl,1Fam,1Story,6,Hip,TA,CBlock,GasA,Y,SBrkr,1844,2,0,7,1,Attchd,2.0,Y,1,COD,Normal,190000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,SFoyer,7,Gable,TA,CBlock,GasA,Y,SBrkr,1173,2,0,6,2,Attchd,2.0,Y,1,WD ,Family,170000
Pave,Reg,Lvl,AllPub,Gtl,1Fam,2Story,7,Gable,Gd,PConc,GasA,Y,SBrkr,1674,2,1,7,0,Attchd,2.0,Y,1,WD ,Normal,216000
