SITE_ID,REGION,VEG_TYPE,TREATMENT,ELEV,SLOPE,CANOPY_COVER,PRE_BIOMASS,POST_BIOMASS,PRE_SM,POST_SM,PRE_TEMP,POST_TEMP
1,SouthForest,Pine,Intervention,348.3,11.97,46.4,123.19,106.03,31.24,35.08,21.58,21.6
2,EastForest,Mixed,Control,514.8,3.95,41.8,125.28,115.39,28.52,31.01,17.82,18.1
3,WestForest,Mixed,Intervention,406.1,6.06,74.0,141.82,130.69,24.62,26.12,14.63,14.96
4,WestForest,Scrub,Control,393.2,16.18,57.9,96.71,96.01,29.12,29.09,19.2,18.8
5,SouthForest,Mixed,Control,567.1,5.63,38.0,90.31,72.56,17.42,18.3,17.22,16.85
6,SouthForest,Oak,Control,406.7,3.09,56.9,106.43,100.69,21.83,22.06,24.99,25.2
7,WestForest,Oak,Control,571.7,0.64,43.7,133.82,131.79,27.0,26.03,20.9,21.37
8,WestForest,Scrub,Intervention,347.9,6.97,57.8,120.7,110.92,21.68,24.36,16.6,16.66
9,SouthForest,Pine,Intervention,388.4,2.33,66.6,149.89,143.04,29.67,30.74,21.92,21.95
10,NorthForest,Mixed,Control,577.1,9.05,67.6,61.96,61.76,24.73,25.03,15.48,16.49
11,EastForest,Mixed,Intervention,472.3,11.43,68.4,93.32,81.27,21.13,21.55,10.63,10.18
12,SouthForest,Mixed,Control,424.1,3.17,17.8,116.52,117.97,15.45,16.43,13.93,12.6
13,NorthForest,Pine,Control,504.6,18.46,75.5,109.42,109.19,35.55,37.23,19.97,21.02
14,EastForest,Pine,Intervention,460.6,5.95,74.2,147.04,138.71,27.67,30.3,18.46,19.85
15,EastForest,Oak,Control,238.6,11.35,77.2,125.21,115.42,30.65,29.31,23.69,24.21
16,EastForest,Pine,Intervention,422.7,2.75,25.9,137.09,121.2,37.15,41.67,14.59,14.66
17,WestForest,Oak,Intervention,398.3,1.77,51.1,130.48,112.62,18.74,21.18,19.75,19.96
18,EastForest,Oak,Intervention,261.1,16.6,57.2,103.27,94.22,24.34,28.65,20.05,19.39
